class,generator_edit_method,video_id,split,duration_sec,width,height,fps,codec,bitrate,has_audio,sha256
real,unknown,real-1062,train,8.277,1280,720,24.767,h264,2952578,True,17169c633247ccb50c7444718a50469362e0264edca52f69b3ef3996f2bd7144
real,unknown,real-1063,train,2.068,1280,720,29.5,h264,1691268,True,63325d973429136d458f6d854b8731ccbbaa51382a6493c89795d9a104dd932c
real,unknown,real-1064,train,6.32,640,360,25.0,h264,817703,True,359f42b582c13bf0358d800fefaa84788b1e502abf5863d8d91fd57d486bb634
real,unknown,real-1065,train,2.469,1280,720,29.97,h264,4101391,True,b30e2d1f2d16108b942f79b12f2ed875f088976dd932276923d1b8afc3ae2c4c
real,unknown,real-1066,train,2.069,1280,720,29.97,h264,1258586,True,1e6f6f5a667edbfe6e670ccc31cf5230bf07ecd03da7bcbd7d046f52ded15386
real,unknown,real-1067,valid,6.25,1280,720,24.0,h264,2813227,True,9bf38d7d29ad4ea48f2b6f1689d94e46d417b4e5e1707f53a465c6b17f1eb1c4
real,unknown,real-1068,train,2.373,1280,720,29.917,h264,1715248,True,2b473eee99b157648ea16234556009cd6feb628306f3e3ae6238dfdfd8353bc4
real,unknown,real-1069,valid,3.77,1280,720,29.97,h264,2462072,True,0d083a2a9c0be6fb6b1693673e38a1ece329e5262c87ab19ddc08d92205f31ce
real,unknown,real-107,train,3.933,320,240,15.0,h264,352554,True,4093c3ba8d5c4c4b87ebe0f654f59a9f98fc747a0026256ca176083afa09b095
real,unknown,real-1070,train,4.8,640,360,30.0,h264,560363,True,82210546dd4827fccc6ef0ea6b0683911ca53615a93f760f1d0470e8928e09e9
real,unknown,real-1071,train,2.466,406,720,30.0,h264,1231362,True,0e62b23d2cc754939df2136b7e9f9df37a4ad90c1658c6235b6d456476c8332f
real,unknown,real-1072,train,6.618,1280,720,29.917,h264,2999141,True,e8e0dae4515ffeb23f8e807f942b020de74102024e91e2ae61f55f1d6f7c3a0e
real,unknown,real-1073,train,2.8,480,352,30.0,h264,613625,True,d99b155f8c13998894ebd1b83b7466e7dfd73e8f4f157366cd3823fdedfbf192
real,unknown,real-1074,train,2.1,406,720,30.0,h264,1738834,True,ac4025b2f1e5021d2853afa8bc9fc15ddcc0f022c710321d68c0fa02289b6e3b
real,unknown,real-1075,train,2.267,406,720,30.0,h264,2431467,True,b932e4403f58cc43b5311fd7671e61a5e0124bb7ff4274c8b58bc5c2d7a47760
real,unknown,real-1076,train,9.933,480,360,30.0,h264,808846,True,91bcb09ddda9ca5dd7c3d5288c40c159c3d8b5ed7b2350d5024ca0ae3e8d55a8
real,unknown,real-1077,train,2.267,1280,720,30.0,h264,2872273,True,77cd7c8d89007da6908ecac7f61a0d96eb54619bc934a5f15ffbb7a360b460f0
real,unknown,real-1078,train,3.937,1280,720,29.97,h264,2297456,True,2643969fa6510248c63437ba9f263509fc0fbb5445347149a8c264ee00ad4c5e
real,unknown,real-1079,train,2.967,406,720,30.0,h264,1483798,True,c8e1325e7dde805d4926d3d4492738725c381725047270f81ffaaa093ad17eb3
real,unknown,real-108,train,9.933,480,360,30.0,h264,496046,True,0e9426559c434e8f7005d11085895061cdda248df3027601bad3232ced75abec
real,unknown,real-1080,train,2.84,1280,720,25.0,h264,2846549,True,a2bff9ae0092fdb74af493aecdd70ecf30855bc43dbb9d17ac09bde50fde970d
real,unknown,real-1081,valid,6.306,1280,720,29.97,h264,2939757,True,39be4e8db91718e2ee38d0d7eb66de5cd3167fff6f286e8913d79fb10fd22d06
real,unknown,real-1082,train,5.0,1280,720,30.0,h264,2844084,True,3c18f1744958c444160c1af3dd1a1e5a1ded260b80fe671d8872b308578412ab
real,unknown,real-1083,train,3.416,1280,720,24.0,h264,2280591,True,4fdf76b0e5cd9aee893b3f103c8487dff1b81982fff05a4efeeed449b2c9b9b5
real,unknown,real-1084,test,2.502,320,240,29.97,h264,749717,True,0f478f44b4789d39682056289739e047950eb655b3e9f8ad481b59a2abdeb9df
real,unknown,real-1085,train,2.667,1280,720,30.0,h264,1489238,True,bdca63436640aab9fb63deb7bfcbff6e35045b262a2a37be8cae5009170a67a7
real,unknown,real-1086,train,9.933,1280,720,30.0,h264,5452436,True,b691dda9c3122dd08fca3feaed1f904cd51844a39cc42c8c5243024bc9d3325f
real,unknown,real-1087,train,2.24,1280,720,29.917,h264,2052926,True,f893cc2759003d59b1987db48e864944e975d7ab445e556fd29d3f28fa2be592
real,unknown,real-1088,test,6.48,270,360,8.333,h264,279354,True,397cc488797a7be067cfa613ab75c8a37b2411d750720e6baf09e0e4c9421adb
real,unknown,real-1089,train,3.403,568,320,29.97,h264,728842,True,87a7b7221c285a4c89f524efc47e6e9e5499cea7ed1d5bcec722f867abebd2b4
real,unknown,real-109,train,5.208,1280,720,24.0,h264,1022465,True,29a004ca1ba65ccb19aed61e55a69768003d059c563d40e4321ce238bd86f080
real,unknown,real-1090,train,9.916,1280,720,24.0,h264,3396081,True,46382275b48637768b6a4c37619ae52005622aa331f77e71e776032d1d650e23
real,unknown,real-1091,train,2.637,1280,720,29.583,h264,3174728,True,3fa0a9f46d5899e35622a58f3cdf29403116098df13b81295ea324e906fdc2d1
real,unknown,real-1092,train,9.916,1280,720,24.0,h264,1689764,True,730a81803d2094abee1d11d3efab22776a531ce37b0549d57782fc5749aebc56
real,unknown,real-1093,train,5.589,1280,720,23.976,h264,1473609,True,96260c407b36f702b3e4e381854484d80df8d3315ce3aeaef5c05ffa52a781fd
real,unknown,real-1094,train,5.172,1280,720,23.976,h264,1426564,True,f5e03ae69dcf4d804a88ea2e07b364ba550c7cde17abfaf8732b0bd05a8e3863
real,unknown,real-1095,train,6.298,1280,720,23.976,h264,742918,True,e51ff69419bd012a09367a2ba2a693f255d46665024aa805adc6838163deb997
real,unknown,real-1096,train,2.269,1280,720,29.97,h264,2237799,True,76e1a178780fc96b591ea8dbc66cdd120292dd53d553d9d86ddfbaca62fd9867
real,unknown,real-1097,train,2.169,1280,720,29.97,h264,2128126,True,a31eaed30e5b2ecc55d948f52e76201581057946d29784dc604258764917db53
real,unknown,real-1098,valid,9.884,1270,720,23.976,h264,2105468,True,72861aa90ee52bad09c1c9fe99ee493d2c322dbe268de1841a1357c4b7609669
real,unknown,real-1099,train,2.32,640,360,25.0,h264,542096,True,773f5537057f6ee98727e66e044ff41c5f93c6f28f36ef1d282bfef19d8bab01
real,unknown,real-11,train,2.602,640,360,29.97,h264,1568885,True,c7ee31ca64896e3def80bf51cb044dba8ab59268c915eebc8e8d7bd258bfa110
real,unknown,real-110,train,4.791,1280,720,24.0,h264,2485483,True,1bfb127b4779b7f0c1779f4160975e89ccabb39ec0d358d85fb41c918406a669
real,unknown,real-1100,train,2.167,408,720,30.0,h264,1459953,True,635cfcb45b2c73b87ab969a0ed1574324815961dffe9529b8e1ba702a859afcc
real,unknown,real-1101,train,3.378,1280,720,23.976,h264,1414073,True,e2cbc6356afc8f820160b28c9c13cfa8d3a1dbbe9386e9c42cedc19cfeee30f7
real,unknown,real-1102,train,2.836,1280,720,29.97,h264,2578465,True,857d1ad8b5769bdd197e3f8d47d79f51619588645d35ba3a03c36155167a3ccf
real,unknown,real-1103,train,3.25,202,360,24.0,h264,293730,True,c3de947e7e4de62e8e82d81655044af860a1240e6377ae4b2231084b3f5fe026
real,unknown,real-1104,train,9.944,1280,720,29.667,h264,2726632,True,e9eedee24d0cd6a97145ca1059a7a9e82698a97938a918add9efd2f2d6248ddf
real,unknown,real-1105,valid,6.539,1280,720,29.97,h264,2926498,True,0179fdc3556a0f4af584070ef6e9dc78341228849335d75fc968c3685eb34081
real,unknown,real-1106,train,9.933,480,360,30.0,h264,484848,True,4b95693cde045ec21ed97864f5495fc9e8db414f3f0633ad00f3ea49cc03a011
real,unknown,real-1107,train,2.703,1280,720,29.97,h264,6862331,True,096eaf7f1ec39b0c708967706c1fa2ba2636ef639a8d640cd762a99a1aedfa36
real,unknown,real-1108,train,5.639,1280,720,29.97,h264,2186262,True,dda987831f287d814b67869070605dfbe276932bb615b58d2a7dd1ad5b08712b
real,unknown,real-1109,test,2.233,480,360,30.0,h264,795569,True,fb8c641e53e0c6f2611ded370728d8bc66639da996a344629337220e75f2620b
real,unknown,real-111,test,6.96,1280,720,25.0,h264,1593279,True,48a609238da1ee6e889aa6e888e6e3cfcbac904c0b64d79511c79d61e403a5f9
real,unknown,real-1110,train,6.206,1280,720,29.97,h264,1565737,True,d39d28f7809668a39a98c82839dc9eb68680ccb2a07c329135149ffcb2ce8b30
real,unknown,real-1111,test,7.16,1280,720,25.0,h264,4553765,True,2fdb3dc0b94c60a40870f45f39041d9c7c9071a0d8b355c55d146d7206ee318c
real,unknown,real-1112,train,3.636,1280,720,29.97,h264,4618378,True,8adbbf99daf66c5826059f5d543ba9c21d2d07e68b5b4e9aed05816254e52237
real,unknown,real-1113,test,2.837,480,360,29.966,h264,920242,True,8df3aa5709de4c0cd4389cc7cca32ad42af57cb4b964c04e47385f084f6078e0
real,unknown,real-1114,train,4.938,1280,720,29.97,h264,2953299,True,9b5d4fa4aa98fc0cfec5d7fba1565997b9b90696088ecee3e5b82d1788b3006b
real,unknown,real-1115,valid,4.08,640,360,25.0,h264,742764,True,ff450a3b2440d592585de68cdd50b677fcb7b3bbf82ef34a9f2cc4cd758563c5
real,unknown,real-1116,test,3.033,1280,720,30.0,h264,8336450,True,620dc9e202cd7b3d400d8b1b234b083dd00454a410f892357ae4636198dd8dc1
real,unknown,real-1117,train,9.866,320,240,15.0,h264,218191,True,492557c32ea97ef3ceefa84a184f3c0a383ee0c3faf7ad39aefb6d7b84fd9cc0
real,unknown,real-1118,train,4.034,360,360,29.0,h264,1123031,True,987378d2a0f69d0f7035b5368b81cf4b8d9db246afe62311cbf96f49327d0c4c
real,unknown,real-1119,test,2.969,1280,720,29.97,h264,2029375,True,f232f1eb66a2435c19a3bd8041e4fbcd724e6426be74b460e168da68dc4778a5
real,unknown,real-112,train,2.302,1280,720,29.97,h264,3074196,True,92a2debbab4db99057e0e83b83fdf98f8c5b10a7607f2f9ce506a89c0bf27071
real,unknown,real-1120,train,8.141,450,300,14.985,h264,422097,True,2135c381bb7d07b4d4019af306617c5c5daa7b0ee3cdf703a21910273811fe23
real,unknown,real-1121,train,2.2,1280,720,25.0,h264,1813134,True,9cc8d0fd2a71f63a9b484ff240d6c0a522a98a60ac75e0be3000e22f82b62363
real,unknown,real-1122,train,4.971,1280,720,29.97,h264,2420110,True,914dce8306b73010fa92f8eeed2471a39cbf81ed2c3749d845af974bcda0aed9
real,unknown,real-1123,train,2.636,1280,720,29.97,h264,1312043,True,530900f90808636ed0855160d3f834ddfeba1d59cb0aa25dd011701ced0893a6
real,unknown,real-1124,train,2.48,1280,720,25.0,h264,1373935,True,709173fe4781d6cf3b219655b2c4781b51387249ab6fd4aca23eec8c229d0360
real,unknown,real-1125,valid,4.233,1280,720,30.0,h264,1833056,True,01ba4084fcc099ab399b5c1d0c8129d526a8d0be9cdf2fb3ac322f30d02fa410
real,unknown,real-1126,train,4.933,1280,720,30.0,h264,2522339,True,e97a0346287f1f826466e6512b3d3ce0304f3575f7b7054a11388fb4f9a3b9a3
real,unknown,real-1127,train,2.84,1280,720,25.0,h264,2398064,True,fbeb8f8a482ed83f24c3864e4305bf126807b093ebf05cc5be8fae345c6269a1
real,unknown,real-1128,train,6.632,1280,720,23.976,h264,1903255,True,5b695000941ee32c3f2b4805b7f64e6638f2779d41d42b3b05302a352721f435
real,unknown,real-1129,train,6.039,1280,720,29.97,h264,4049016,True,fcd06b4d9c4e424dd389f742eecdc26233e477e53f5a4fcfdccd11d8f4831399
real,unknown,real-113,train,2.903,1280,720,29.97,h264,3072243,True,25a4aa598c90bec6db429918b30175eadb8a83a5e26a6b14af651b03be1630d7
real,unknown,real-1130,train,2.067,1280,720,30.0,h264,1389859,True,530a4a3d497194bce6e3760ca7e84851fc76024e79f5b7d5511cace2a0d64ba9
real,unknown,real-1131,test,2.102,1280,720,29.97,h264,3780738,True,6438538d12723d6f96452de9d0a83490e169757776f4876c59cb6110950bbd79
real,unknown,real-1132,valid,2.867,204,360,30.0,h264,1299839,True,d25b69bc13c757320d3f757a3dc6029e03152c469ce5374edcf2c1bf8939ea53
real,unknown,real-1133,train,2.436,1280,720,29.97,h264,3255165,True,172d211f6e27fc7724bafb6fa1de1162178dbf1efcdc48a749c9f029c0e714cc
real,unknown,real-1134,valid,2.336,1280,720,29.97,h264,2707588,True,c63da5cabea7af2e2b44cd51860ddd66800e78fe7f0a8432ed8c8e6e5ba2232a
real,unknown,real-1135,train,2.633,1280,720,30.0,h264,2852737,True,5ddea46017b7701664082d86f2289bf9e3d35ea3bac1cb65794ad9bba049dac9
real,unknown,real-1136,train,3.625,480,360,24.0,h264,717881,True,a5a32d05b16d230efe2d5e6e2c1cdb46e2db562f920655f33f1a1b4c4163b0f3
real,unknown,real-1137,train,9.909,1280,720,29.97,h264,1291029,True,81c98e515344c8c3d641bf8b096629a5e29bd8cf8181e6c79a76c3ef8e0eed03
real,unknown,real-1138,train,4.371,406,720,29.97,h264,1195040,True,fbab669265c1e33a710e6b7a15eacf4c5a093ba065bacfa6148fa220d3789e8d
real,unknown,real-1139,train,2.169,406,720,29.97,h264,1143272,True,8a460ea502ced6f3a2a5d7f1e18f89464d45eaa55fb758f2e75901b9f13f6a80
real,unknown,real-114,train,9.643,640,360,29.97,h264,550491,True,8073a065d8c2f45531cad89d0654ef07f3590ae48513c7b56ee14e2f3195cc20
real,unknown,real-1140,train,5.133,320,240,15.0,h264,212602,True,903c5fec59d7dc88f5975e608665c0613760b3ae727712552bf394ef5d7d23c9
real,unknown,real-1141,train,3.237,960,720,29.97,h264,2773709,True,5c3cf6a9db08ecab04d8a49040e050a726d1eb45985e12699f08a47e2215e06c
real,unknown,real-1142,train,5.974,1280,720,24.271,h264,4427549,True,c759525ee809c37117a6c112129137fbc84db917d76d40739ca5001f0860e72d
real,unknown,real-1143,train,3.56,640,352,25.0,h264,591811,True,b6bc92d0ebc99c3f17bf6eb6fa7038dd39e233ff090dcd3b81a66308ac0d512d
real,unknown,real-1144,train,4.893,480,360,17.167,h264,547996,True,ca7ec935b546a9eb041e810b51346b7c7a68309876b61aff6640eb3b66d9dcc4
real,unknown,real-1145,train,4.938,1280,720,29.97,h264,1379274,True,122da41925a2858dfd21e843d8a5199c0168936e98c06f3ba0754f059f77c2a2
real,unknown,real-1146,train,3.837,1280,720,29.97,h264,1677010,True,cddce073859fd9a71def7be5f1eeec02e04b0073831540e0224b9b03c268b0cb
real,unknown,real-1147,train,4.137,1280,720,29.97,h264,1619504,True,032ec0173af7f61439299928ac3719c036867d188f954a1aa19475e722f1b6e9
real,unknown,real-1148,train,4.1,406,720,30.0,h264,832641,True,8a62b7e5ca22cfd514ece40c073a0747b2b400e5622e23d492b68ca58e7c4291
real,unknown,real-1149,train,2.919,1280,720,23.976,h264,1375893,True,a6232241c9dc62336c22ddfacc54f0c46076873359fb57ffb4491e3a7fc2e87c
real,unknown,real-115,test,2.32,1280,720,25.0,h264,1070362,True,eb79033ae3224e304ac5b2f6bfa79544547a0ae4762acb67a9bf78f4a701b0ad
real,unknown,real-1150,train,2.64,480,360,25.0,h264,656724,True,1fc9ee556d518cf76c6447022818a8c8184d8fa566d4a6650345b6fa839119cb
real,unknown,real-1151,train,2.803,406,720,29.97,h264,2316780,True,a6b6e04c888b1f399201670799a71181573d481a7dfbc0486ec6195354041001
real,unknown,real-1152,test,9.943,1280,720,29.97,h264,3068084,True,a4e898283f8a1d0378a81792e687f017f86e8bd86a457c9a6c4760847fb7af3b
real,unknown,real-1153,train,4.334,480,360,14.997,h264,622344,True,bd3cb94ca1ad8801e4977638c6edc0319b9acedc7ced4e2df5ddea5a81dd8874
real,unknown,real-1154,train,2.903,406,720,29.97,h264,968096,True,97c2e567c8a18bff9c62edf439ab94d62c53dea5d0358d66bc0849f7d3044179
real,unknown,real-1155,train,3.9,480,360,29.999,h264,788287,True,dd0dbcd8a293b40a9e2252134d19bb641c0f3b9152814c4a06ff74e9de7bafbf
real,unknown,real-1156,valid,2.067,568,320,30.0,h264,828146,True,53507414d724b54d20860ba559aa5965f02828a4947717d8e82a9dca8bafd61f
real,unknown,real-1157,train,8.125,480,360,24.0,h264,692158,True,696dced15b8176a342278177cc247fad3cc2c1c869e79ece6793cb7b887e3988
real,unknown,real-1158,train,2.502,1280,720,29.97,h264,2505062,True,0ac0bab22e8f481b287e228946f2b130570a5b3ec804509ac7e1dbee0224040f
real,unknown,real-1159,train,4.004,1280,720,29.97,h264,2123954,True,f6d42d0470645d9d4d1dfb2039ef226a64a8a39a4c57830934e7a53cc60d278a
